speed_mach,alt_ft,sensor_name,speed_mps,cost,endurance_hr,footprint_km2,area_sanitized_km2,mission_time_hrs
0.4,5000.0,EO/IR Sensor 1,133.7597759047561,5.700000000000002,9.94622,0.1610230803676399,1404.4688442623392,8.52111404919982
0.4,5000.0,EO/IR Sensor 2,133.7597759047561,6.650000000000002,9.94622,0.6670138169585158,2858.4819848552174,8.507560310932917
0.4,5000.0,EO/IR Sensor 3,133.7597759047561,15.650000000000002,9.94622,3.0967679999999986,6159.172671714924,8.471288049177735
0.4,10000.0,EO/IR Sensor 1,131.3571501677056,7.850000000000001,10.94622,0.6440923214705596,3129.959138641785,9.58042247591257
0.4,10000.0,EO/IR Sensor 2,131.3571501677056,8.8,10.94622,2.668055267834063,6370.331280534486,9.5448597835976
0.4,10000.0,EO/IR Sensor 3,131.3571501677056,17.8,10.94622,12.387071999999995,14078.108963919824,9.439001809537857
0.4,15000.0,EO/IR Sensor 1,128.90975195954624,11.500000000000002,12.44622,1.44920772330876,5296.853926932249,10.847491254121865
0.4,15000.0,EO/IR Sensor 2,128.90975195954624,12.450000000000001,12.44622,6.003124352626644,11025.573370155827,11.066615486654728
0.4,15000.0,EO/IR Sensor 3,128.90975195954624,21.450000000000003,12.44622,27.870911999999997,23756.808876614712,10.976839176564813
0.4,20000.0,EO/IR Sensor 1,126.41498091746212,16.650000000000002,14.44622,2.5763692858822385,8346.557703044764,12.958103891784285
0.4,20000.0,EO/IR Sensor 2,126.41498091746212,17.6,14.44622,10.672221071336253,17640.917392249346,13.08389317736468
0.4,20000.0,EO/IR Sensor 3,126.41498091746212,26.6,14.44622,49.54828799999998,36603.08330619153,13.04274188015834
0.4,25000.0,EO/IR Sensor 1,123.86997477376383,23.3,16.94622,4.025577009190998,12238.942785714647,15.42072698783395
0.4,25000.0,EO/IR Sensor 2,123.86997477376383,24.25,16.94622,16.675345423962895,25317.983294431902,15.383232056505832
0.4,25000.0,EO/IR Sensor 3,123.86997477376383,33.25,16.94622,77.41919999999996,37500.0,11.179377100663142
0.5,5000.0,EO/IR Sensor 1,167.19971988094514,6.7,9.06765,0.1610230803676399,1484.7242067916159,7.655500655681826
0.5,5000.0,EO/IR Sensor 2,167.19971988094514,7.65,9.06765,0.6670138169585158,3021.82381256123,7.644896905503197
0.5,5000.0,EO/IR Sensor 3,167.19971988094514,16.65,9.06765,3.0967679999999986,6511.125395812919,7.6200689102945205
0.5,10000.0,EO/IR Sensor 1,164.196437709632,8.850000000000001,10.06765,0.6440923214705596,3290.4698637003385,8.549389433655683
0.5,10000.0,EO/IR Sensor 2,164.196437709632,9.8,10.06765,2.668055267834063,6697.014935946511,8.525049619688465
0.5,10000.0,EO/IR Sensor 3,164.196437709632,18.8,10.06765,12.387071999999995,14782.014412115814,8.616770214604449
0.5,15000.0,EO/IR Sensor 1,161.13718994943278,12.5,11.56765,1.44920772330876,5778.386102107909,10.032843672634552
0.5,15000.0,EO/IR Sensor 2,161.13718994943278,13.45,11.56765,6.003124352626644,11760.61159483288,9.99717372779303
0.5,15000.0,EO/IR Sensor 3,161.13718994943278,22.45,11.56765,27.870911999999997,26924.383393496668,10.235001640037305
0.5,20000.0,EO/IR Sensor 1,158.01872614682765,17.650000000000002,13.56765,2.5763692858822385,9149.11132833753,12.072459242353695
0.5,20000.0,EO/IR Sensor 2,158.01872614682765,18.6,13.56765,10.672221071336253,18620.968358485417,11.976943216705388
0.5,20000.0,EO/IR Sensor 3,158.01872614682765,27.6,13.56765,49.54828799999998,37500.0,11.10764392279089
0.5,25000.0,EO/IR Sensor 1,154.8374684672048,24.3,16.06765,4.025577009190998,13643.411629976983,14.501510116164365
0.5,25000.0,EO/IR Sensor 2,154.8374684672048,25.25,16.06765,16.675345423962895,28176.46527928711,14.534783288780833
0.5,25000.0,EO/IR Sensor 3,154.8374684672048,34.25,16.06765,77.41919999999996,37500.0,9.156720425666007
0.6000000000000001,5000.0,EO/IR Sensor 1,200.6396638571342,8.700000000000001,7.814079999999999,0.1610230803676399,1364.3411629977008,6.2587448542072694
0.6000000000000001,5000.0,EO/IR Sensor 2,200.6396638571342,9.65,7.814079999999999,0.6670138169585158,2858.4819848552174,6.48267588884431
0.6000000000000001,5000.0,EO/IR Sensor 3,200.6396638571342,18.65,7.814079999999999,3.0967679999999986,6159.172671714924,6.464787177302162
0.6000000000000001,10000.0,EO/IR Sensor 1,197.03572525155843,10.850000000000001,8.814079999999999,0.6440923214705596,3129.959138641785,7.274423786719986
0.6000000000000001,10000.0,EO/IR Sensor 2,197.03572525155843,11.8,8.814079999999999,2.668055267834063,6370.331280534486,7.256765641775445
0.6000000000000001,10000.0,EO/IR Sensor 3,197.03572525155843,20.8,8.814079999999999,12.387071999999995,14078.108963919824,7.363841495031663
0.6000000000000001,15000.0,EO/IR Sensor 1,193.36462793931938,14.5,10.314079999999999,1.44920772330876,5658.003058313994,8.809176079335757
0.6000000000000001,15000.0,EO/IR Sensor 2,193.36462793931938,15.45,10.314079999999999,6.003124352626644,11515.598853273863,8.776613985226502
0.6000000000000001,15000.0,EO/IR Sensor 3,193.36462793931938,24.45,10.314079999999999,27.870911999999997,25340.59613505569,8.823186859203235
0.6000000000000001,20000.0,EO/IR Sensor 1,189.6224713761932,19.650000000000002,12.314079999999999,2.5763692858822385,9149.11132833753,10.749540175368322
0.6000000000000001,20000.0,EO/IR Sensor 2,189.6224713761932,20.6,12.314079999999999,10.672221071336253,18620.968358485417,10.691761391555366
