speed_mach,alt_ft,sensor_name,speed_mps,cost,endurance_hr,footprint_km2,area_sanitized_km2
0.4,5000.0,EO/IR Sensor 1,133.7597759047561,5.300000000000002,9.94622,0.1610230803676399,1725.490294379446
0.4,5000.0,EO/IR Sensor 2,133.7597759047561,6.250000000000002,9.94622,0.6670138169585158,3511.8492956792684
0.4,5000.0,EO/IR Sensor 3,133.7597759047561,15.250000000000002,9.94622,3.0967679999999986,7391.007206057907
0.4,10000.0,EO/IR Sensor 1,131.3571501677056,6.050000000000002,10.94622,0.6440923214705596,3772.0020388759986
0.4,10000.0,EO/IR Sensor 2,131.3571501677056,7.000000000000002,10.94622,2.668055267834063,7513.724074476575
0.4,10000.0,EO/IR Sensor 3,131.3571501677056,16.0,10.94622,12.387071999999995,10000.0
0.4,15000.0,EO/IR Sensor 1,128.90975195954624,7.300000000000002,12.44622,1.44920772330876,6259.918277283569
0.4,15000.0,EO/IR Sensor 2,128.90975195954624,8.250000000000002,12.44622,6.003124352626644,10000.0
0.4,15000.0,EO/IR Sensor 3,128.90975195954624,17.25,12.44622,27.870911999999997,10000.0
0.4,20000.0,EO/IR Sensor 1,126.41498091746212,9.050000000000002,14.44622,2.5763692858822385,9630.64350351319
0.4,20000.0,EO/IR Sensor 2,126.41498091746212,10.000000000000002,14.44622,10.672221071336253,10000.0
0.4,20000.0,EO/IR Sensor 3,126.41498091746212,19.0,14.44622,49.54828799999998,10000.0
0.4,25000.0,EO/IR Sensor 1,123.86997477376383,11.300000000000002,16.94622,4.025577009190998,10000.0
0.4,25000.0,EO/IR Sensor 2,123.86997477376383,12.250000000000002,16.94622,16.675345423962895,10000.0
0.4,25000.0,EO/IR Sensor 3,123.86997477376383,21.25,16.94622,77.41919999999996,10000.0
0.5,5000.0,EO/IR Sensor 1,167.19971988094514,6.3,9.06765,0.1610230803676399,1966.256381967276
0.5,5000.0,EO/IR Sensor 2,167.19971988094514,7.25,9.06765,0.6670138169585158,4001.8747787973066
0.5,5000.0,EO/IR Sensor 3,167.19971988094514,16.25,9.06765,3.0967679999999986,8446.865378351893
0.5,10000.0,EO/IR Sensor 1,164.196437709632,7.05,10.06765,0.6440923214705596,4333.789576580935
0.5,10000.0,EO/IR Sensor 2,164.196437709632,8.0,10.06765,2.668055267834063,8657.116868418661
0.5,10000.0,EO/IR Sensor 3,164.196437709632,17.0,10.06765,12.387071999999995,10000.0
0.5,15000.0,EO/IR Sensor 1,161.13718994943278,8.3,11.56765,1.44920772330876,7343.3656714288045
0.5,15000.0,EO/IR Sensor 2,161.13718994943278,9.25,11.56765,6.003124352626644,10000.0
0.5,15000.0,EO/IR Sensor 3,161.13718994943278,18.25,11.56765,27.870911999999997,10000.0
